Date,Open,High,Low,Close,Adj Close,Volume,7_day_MA,21_day_MA,12_day_EMA,26_day_EMA,MACD,RSI,ROC,20_day_SMA,20_day_STD,Upper_Bollinger,Lower_Bollinger,Volatility,Skewness,Kurtosis
2022-02-14,439.9200134277344,441.6000061035156,435.3399963378906,439.0199890136719,427.26898193359375,123006300,447.60571725027904,446.6009550548735,447.11042603961107,451.8672588739426,-4.756832834331533,53.14095293310659,-0.03075399672799295,445.695002746582,8.013793990332118,461.72259072724626,429.6674147659178,6.309246036976334,0.042061618538439045,-0.6968844391222908
2022-02-15,443.7300109863281,446.2799987792969,443.1799926757813,446.1000061035156,434.1594848632813,88482700,447.23428780691967,445.71428862072173,446.95497681867334,451.4400549650221,-4.485078146348769,58.110169052901355,-0.02459822859924421,445.1755035400391,7.603432994086584,460.3823695282122,429.9686375518659,6.310619081040631,-0.22784440845931955,-0.9199161050031015
2022-02-16,443.9299926757813,448.05999755859375,441.9400024414063,446.6000061035156,434.6460876464844,84863600,447.14000156947543,445.2433369954427,446.9003659394183,451.0815328271327,-4.181166887714426,60.002607386774415,0.0,444.91800384521486,7.454813897251212,459.82763163971725,430.00837605071246,6.315099649703063,-0.22765370812389488,-0.760032691125228
2022-02-17,443.2200012207031,446.5700073242188,436.4200134277344,437.05999755859375,425.3615112304688,102259100,445.15714372907365,444.54381306966144,445.38646311159914,450.0429005850187,-4.656437473419544,46.76629305090831,-0.025941641033579543,444.43350372314455,7.64201681885659,459.7175373608577,429.1494700854314,7.058414591111552,-0.03574195730472896,-0.8409742813692547
2022-02-18,437.3299865722656,438.6600036621094,431.8200073242188,434.2300109863281,422.6072387695313,132642900,441.82714407784596,443.9476231166295,443.6700858615574,448.87157542956015,-5.201489568002728,38.876288704432596,-0.0291329394419253,444.24600372314455,7.851813637827069,459.9496309987987,428.5423764474904,5.5882600814845285,0.08377368399831604,-1.0123171703434037
2022-02-22,431.8900146484375,435.5,425.8599853515625,429.5700073242188,418.0719604492188,124391800,439.0057155064174,443.5471467517671,441.5008430096592,447.4418296439793,-5.940986634320097,33.786412616070436,-0.04738988557566315,443.7325042724609,8.466860805720575,460.6662258839021,426.79878266101974,6.133828221598189,-0.030166623133978526,-1.0283339125647053
2022-02-23,432.6600036621094,433.260009765625,421.3500061035156,421.9500122070313,410.6559143066406,132578000,436.36143275669644,442.6952427455357,438.493022886178,445.5535468708721,-7.0605239846941,26.500281392025542,-0.07778553934785859,443.1065048217773,9.577694475122524,462.26189377202235,423.9511158715323,8.80889294587185,-0.3386947874110953,-0.6519850369657658
2022-02-24,411.0199890136719,428.760009765625,410.6400146484375,428.2999877929688,416.8359069824219,213942900,434.8300040108817,442.4014325823103,436.9248636410689,444.27550545769407,-7.350641816625171,37.09812828138137,-0.04678184632023841,442.85250396728514,9.9107868254669,462.6740776182189,423.0309303163514,9.193128095649675,-0.34098474258320516,-0.8073825744006684
2022-02-25,429.6099853515625,437.8399963378906,427.8599853515625,437.75,426.0329895019531,121804500,433.63714599609375,442.6095275878906,437.0518076962891,443.79213468305005,-6.7403269867609765,43.00497669950151,-0.0061526393035734595,443.1780044555664,9.611715096087645,462.40143464774167,423.9545742633911,7.9439146815086294,-0.3880133352974161,-0.6694583777319312
2022-02-28,432.0299987792969,438.2000122070313,430.7000122070313,436.6300048828125,424.9429321289063,145615000,432.2128601074219,442.8661949521019,436.98691495575423,443.26160654969914,-6.274691593944908,43.18152455539085,-0.005443907317816743,442.9120040893555,9.720487003785951,462.3529780969274,423.47103008178357,5.850299321474456,-0.4268405434129277,-0.4743816496487523
2022-03-01,435.0400085449219,437.1700134277344,427.1099853515625,429.9800109863281,418.470947265625,137785900,431.20143345424106,442.2961948939732,435.9089297296887,442.27778465611607,-6.368854926427389,37.0489446508826,-0.03613538421124107,441.9155044555664,9.983337964666582,461.8821803848996,421.9488285262332,5.472446124430004,-0.3120042047508643,-0.8102585386460621
2022-03-02,432.3699951171875,439.7200012207031,431.5700073242188,437.8900146484375,426.1692504882813,117726500,431.7242911202567,441.7238144647507,436.2137120248808,441.9527646555473,-5.739052630666492,38.05181121783415,-0.019502891482404694,441.1625045776367,9.670295624842812,460.50309582732234,421.82191332795105,5.962901629517981,-0.17184478448207535,-0.784880103035726
2022-03-03,440.4700012207031,441.1099853515625,433.7999877929688,435.7099914550781,424.0475463867188,105501700,432.6014317103795,440.9028610956101,436.13621655260346,441.49033701106805,-5.3541204584645925,41.06837512692283,-0.003088834739067181,440.0805038452148,8.947383957475592,457.975271760166,422.18573593026366,6.04423160598992,-0.0181073401074119,-0.6696960150103553
2022-03-04,431.75,433.3699951171875,427.8800048828125,432.1700134277344,420.6023559570313,113978200,434.0614318847656,439.7038138253348,435.52603145646975,440.79994267156184,-5.273911215092085,44.15127797480738,-0.004744023919292406,439.35900421142577,8.97575280081447,457.3105098130547,421.40749860979685,3.8946243929918536,0.0221621368694266,-0.6298324059599629
2022-03-07,431.5499877929688,432.2999877929688,419.3599853515625,419.4299926757813,408.2033081054688,137896600,432.7942897251674,438.4100036621094,433.0497177979023,439.21698341261515,-6.167265614712846,38.07959526797491,-0.0236050340469518,437.89550323486327,9.727316384208002,457.35013600327926,418.4408704664473,6.591077624458318,-0.04956552795373052,-0.5522020998762853
2022-03-08,419.6199951171875,427.2099914550781,415.1199951171875,416.25,405.1084289550781,164772700,429.72286115373885,436.8647649855841,430.46514582899425,437.5157253820511,-7.050579553056821,30.931384762107484,-0.01350873810197828,436.34500274658205,10.589333732765303,457.5236702121127,415.16633528105143,8.600121795710232,-0.1031877955623676,-0.46593719380798193
2022-03-09,425.1400146484375,429.510009765625,422.8200073242188,427.4100036621094,415.9697570800781,116990800,428.4057181222098,435.9195265997024,429.99512395716584,436.7671534027961,-6.772029445630267,39.21061282925733,-0.002077945730154074,435.1685028076172,10.18172495879302,455.5319527252032,414.80505289003116,8.054700328899784,0.08456831474602731,-0.41503109662142057
2022-03-10,422.5199890136719,426.4299926757813,420.4400024414063,425.4800109863281,414.0914001464844,93972700,427.7628609793527,434.70714605422245,429.30049119242153,435.93106877935406,-6.630577586932532,42.87998655004534,-0.02802967221855368,433.5655029296875,8.91973970660386,451.4049823428952,415.7260235164798,8.087621110997853,0.24095337639666836,-0.1968817551438775
2022-03-11,428.1199951171875,428.7699890136719,419.5299987792969,420.0700073242188,408.8262023925781,95636300,425.21714564732144,432.922860281808,427.88041675115954,434.75617533823294,-6.875758587073392,41.561379802017676,-0.03792684280375613,432.1030029296875,8.592589341243151,449.2881816121738,414.91782424720117,7.114700526260509,-0.0653999286181791,-0.7770195334294523
