Date,Open,High,Low,Close,Adj Close,Volume,7_day_MA,21_day_MA,12_day_EMA,26_day_EMA,MACD,RSI,ROC,20_day_SMA,20_day_STD,Upper_Bollinger,Lower_Bollinger,Volatility,Skewness,Kurtosis
2022-02-18,13735.400390625,13762.400390625,13465.5595703125,13548.0703125,13548.0703125,4501940000,13899.478515625,13943.138578869048,13956.319897330814,14204.437198074584,-248.1173007437701,38.9579308627027,-0.03336262996927408,13951.84951171875,321.4839630403252,14594.8174377994,13308.8815856381,248.4894273077155,-0.029054565386534014,-0.9490809534362454
2022-02-22,13424.3603515625,13618.7197265625,13249.650390625,13381.51953125,13381.51953125,4849170000,13784.604213169643,13924.690941220239,13867.889071779919,14143.480333865356,-275.59126208543785,34.89713952959195,-0.05727102162301134,13928.168994140626,345.52729293528324,14619.223580011192,13237.11440827006,278.2392708061135,-0.08525783498970767,-1.057380420675871
2022-02-23,13511.75,13533.7802734375,13032.169921875,13037.490234375,13037.490234375,4639330000,13676.9384765625,13885.75571986607,13740.135404486855,14061.555141310515,-321.41973682366006,30.08870031231234,-0.10026520172105136,13903.07900390625,390.53841055759995,14684.155825021451,13122.00218279105,396.1261625436345,-0.3549734475133085,-0.6880912397961003
2022-02-24,12587.8798828125,13486.1103515625,12587.8798828125,13473.58984375,13473.58984375,6180200000,13631.60560825893,13882.627139136905,13699.128395142723,14018.002156306033,-318.8737611633096,43.974964557419305,-0.05019511437864066,13899.652490234375,394.15596386575356,14687.964417965883,13111.340562502868,399.05493227960017,-0.3460533630495946,-0.7417594556699472
2022-02-25,13485.259765625,13696.8603515625,13358.2900390625,13694.6201171875,13694.6201171875,4628720000,13568.014229910714,13889.88904389881,13698.434813918842,13994.047931186142,-295.61311726729946,44.00561546813611,-0.006999435921104857,13916.744482421875,376.1960492337135,14669.136580889302,13164.352383954447,334.89106953992314,-0.38897479791502587,-0.6176268585669886
2022-02-28,13570.830078125,13810.6396484375,13549.900390625,13751.400390625,13751.400390625,5928130000,13514.772879464286,13908.87095424107,13706.583364181328,13976.074039292724,-269.49067511139583,46.04288584538986,-0.002865619659448093,13915.785986328125,376.6122736188329,14669.01053356579,13162.56143909046,250.8253298608521,-0.4524863117878286,-0.26417564455919784
2022-03-01,13716.7001953125,13777.0400390625,13441.3203125,13532.4599609375,13532.4599609375,6131350000,13488.45005580357,13897.53236607143,13679.79514829766,13943.213737192336,-263.41858889467585,40.2053037277983,-0.04294979651379216,13880.414990234374,377.7899116033904,14635.994813441155,13124.835167027593,235.28710939284713,-0.3801478727552061,-0.4917683165347584
2022-03-02,13597.5302734375,13796.5498046875,13493.91015625,13752.01953125,13752.01953125,5246390000,13517.585658482143,13874.30092075893,13690.906591828789,13929.051203418829,-238.14461159003986,38.82292834839386,-0.026342958492624136,13850.715966796875,362.2920079586268,14575.299982714128,13126.131950879622,255.6469743784394,-0.2531125909327614,-0.4181442180957675
2022-03-03,13837.58984375,13837.58984375,13472.6396484375,13537.9404296875,13537.9404296875,5092580000,13539.93150111607,13835.82189360119,13667.373336114744,13900.080034994287,-232.70669887954318,39.918508281414255,-0.013033677179303482,13806.735498046875,342.7210608758909,14492.177619798656,13121.293376295094,248.50795493733864,-0.10128843495953567,-0.3620348748800599
2022-03-04,13455.23046875,13486.7099609375,13224.98046875,13313.4404296875,13313.4404296875,5343900000,13579.352957589286,13783.24525669643,13612.92211974132,13856.625249416007,-243.70312967468635,42.148943375452795,-0.017318324853689337,13778.46650390625,359.3750327552212,14497.216569416692,13059.716438395806,162.53709438260256,-0.04713452939663702,-0.400230072019955
2022-03-07,13328.3603515625,13353.2802734375,12828.01953125,12830.9599609375,12830.9599609375,6195370000,13487.54868861607,13733.347144717261,13492.620249156118,13780.650042862044,-288.02979370592584,36.38192060277587,-0.04114327741530199,13715.114013671875,408.4146410637441,14531.943295799363,12898.284731544387,328.73999778917056,-0.3093325491294284,-0.23242357082135667
2022-03-08,12800.0400390625,13159.4404296875,12670.080078125,12795.5498046875,12795.5498046875,6683960000,13359.110072544643,13671.325241815477,13385.378642314794,13707.679654849115,-322.30101253432076,29.06964473451721,-0.01855728559240588,13654.1080078125,450.1507166985582,14554.409441209616,12753.806574415383,401.85578860620785,-0.3094036782163386,-0.3759867408468982
